SCAN_NAME,ws62,stdev62,wd60
2011-01-01 00:00:00,3.65,0.18,255.43
2011-01-01 00:10:00,3.79,0.15,260.83
2011-01-01 00:20:00,3.74,0.17,260.23
2011-01-01 00:30:00,3.25,0.21,269.83
2011-01-01 00:40:00,3.03,0.25,271.83
2011-01-01 00:50:00,3.7,0.29,258.03
2011-01-01 01:00:00,3.76,0.41,255.43
2011-01-01 01:10:00,3.73,0.4,253.63
2011-01-01 01:20:00,3.61,0.3,254.33
2011-01-01 01:30:00,3.19,0.45,257.83
2011-01-01 01:40:00,3.49,0.32,261.43
2011-01-01 01:50:00,3,0.44,250.53
2011-01-01 02:00:00,2.46,0.44,260.43
2011-01-01 02:10:00,2.46,0.31,269.93
2011-01-01 02:20:00,2.38,0.33,273.23
2011-01-01 02:30:00,2.32,0.44,274.53
2011-01-01 02:40:00,1.36,0.5,286.33
2011-01-01 02:50:00,2.15,0.42,256.43
2011-01-01 03:00:00,2.76,0.46,233.63
2011-01-01 03:10:00,2.18,0.41,260.43
2011-01-01 03:20:00,2.79,0.56,243.63
2011-01-01 03:30:00,3.41,0.49,247.63
2011-01-01 03:40:00,2.78,0.39,225.83
2011-01-01 03:50:00,3.11,0.35,221.73
2011-01-01 04:00:00,3.08,0.46,236.13
2011-01-01 04:10:00,1.97,0.33,270.23
2011-01-01 04:20:00,2.06,0.3,273.53
2011-01-01 04:30:00,1.66,0.82,247.83
2011-01-01 04:40:00,2.08,0.57,235.03
2011-01-01 04:50:00,1.51,0.52,242.33
2011-01-01 05:00:00,1.36,0.25,247.03
2011-01-01 05:10:00,1.62,0.29,271.83
2011-01-01 05:20:00,1.25,0.44,242.53
2011-01-01 05:30:00,1.29,0.35,200.73
2011-01-01 05:40:00,1.72,0.22,183.73
2011-01-01 05:50:00,1.68,0.25,210.43
2011-01-01 06:00:00,1.38,0.23,192.03
2011-01-01 06:10:00,0.9,0.35,229.23
2011-01-01 06:20:00,0.99,0.36,166.23
2011-01-01 06:30:00,0.99,0.27,88.03
2011-01-01 06:40:00,1.31,0.34,345.98
2011-01-01 06:50:00,1.84,0.43,4.94
2011-01-01 07:00:00,2.33,0.29,12.16
2011-01-01 07:10:00,1.82,0.35,6.51
2011-01-01 07:20:00,1.82,0.53,333.53
2011-01-01 07:30:00,1.42,0.32,310.73
2011-01-01 07:40:00,1.98,0.37,288.03
2011-01-01 07:50:00,1.35,0.47,291.43
2011-01-01 08:00:00,0.84,0.31,255.33
2011-01-01 08:10:00,1.22,0.34,256.93
2011-01-01 08:20:00,1.65,0.44,300.63
2011-01-01 08:30:00,1.39,0.42,302.53
2011-01-01 08:40:00,1.88,0.74,351.91
2011-01-01 08:50:00,2.84,0.52,339.03
2011-01-01 09:00:00,1.56,0.51,304.23
2011-01-01 09:10:00,2.13,0.51,322.23
2011-01-01 09:20:00,2.11,0.46,340.94
2011-01-01 09:30:00,2.47,0.55,334.93
2011-01-01 09:40:00,2.08,0.81,332.63
